Crop Production Statistics,,,,,
,,,,,
State/Crop/District,Year,Season,Area (Hectare),Production (Tonnes),Yield (Tonnes/Hectare)
Maharashtra,,,,,
Arhar/Tur,,,,,
, 2011-12,Rabi       ,27300,18100,0.66
, 2012-13,Rabi       ,25400,14100,0.56
, 2013-14,Rabi       ,25700,20500,0.80
, 2014-15,Rabi       ,34100,25900,0.76
, 2015-16,Rabi       ,27900,21700,0.78
, 2016-17,Rabi       ,32000,25600,0.80
, 2017-18,Rabi       ,31000,28900,0.93
, 2018-19,Rabi       ,27520,24900,0.90
 29.SOLAPUR, 2010-11,Rabi       ,56400,37500,0.66
, 2011-12,Rabi       ,24800,16400,0.66
, 2012-13,Rabi       ,26100,10900,0.42
, 2013-14,Rabi       ,35400,19700,0.56
, 2014-15,Rabi       ,39500,29600,0.75
, 2015-16,Rabi       ,45800,13500,0.29
, 2016-17,Rabi       ,56500,38100,0.67
, 2017-18,Rabi       ,68249,46100,0.68
, 2018-19,Rabi       ,50690,28100,0.55
 30.THANE, 2010-11,Rabi       ,4300,3700,0.86
, 2011-12,Rabi       ,4200,3700,0.88
, 2012-13,Rabi       ,2500,1700,0.68
, 2013-14,Rabi       ,3300,3900,1.18
, 2014-15,Rabi       ,3400,2900,0.85
, 2015-16,Rabi       ,1300,900,0.69
, 2016-17,Rabi       ,1400,1300,0.93
, 2017-18,Rabi       ,1400,1200,0.86
, 2018-19,Rabi       ,1110,1000,0.90
 31.WARDHA, 2010-11,Rabi       ,27600,21200,0.77
, 2011-12,Rabi       ,28000,19900,0.71
, 2012-13,Rabi       ,30000,27800,0.93
, 2013-14,Rabi       ,36400,27500,0.76
, 2014-15,Rabi       ,31000,24400,0.79
, 2015-16,Rabi       ,28600,22300,0.78
, 2016-17,Rabi       ,29600,33800,1.14
, 2017-18,Rabi       ,31400,36800,1.17
, 2018-19,Rabi       ,32550,44200,1.36
 32.WASHIM, 2010-11,Rabi       ,68000,68100,1.00
, 2011-12,Rabi       ,61600,48000,0.78
, 2012-13,Rabi       ,57800,59000,1.02
, 2013-14,Rabi       ,94000,100700,1.07
, 2014-15,Rabi       ,53900,28700,0.53
, 2015-16,Rabi       ,51500,19200,0.37
, 2016-17,Rabi       ,55100,49700,0.90
, 2017-18,Rabi       ,49600,35100,0.71
, 2018-19,Rabi       ,64590,56400,0.87
 33.YAVATMAL, 2010-11,Rabi       ,38000,43900,1.16
