Crop Production Statistics,,,,,
,,,,,
State/Crop/District,Year,Season,Area (Hectare),Production (Tonnes),Yield (Tonnes/Hectare)
Maharashtra,,,,,
Arhar/Tur,,,,,
, 2015-16,Kharif     ,3900,600,0.15
, 2016-17,Kharif     ,9422,5195,0.55
, 2017-18,Kharif     ,12655,2700,0.21
, 2018-19,Kharif     ,11614,2832,0.24
 31.THANE, 2010-11,Kharif     ,800,600,0.75
, 2011-12,Kharif     ,800,500,0.63
, 2012-13,Kharif     ,500,100,0.20
, 2013-14,Kharif     ,500,700,1.40
, 2014-15,Kharif     ,100,,0.00
, 2015-16,Kharif     ,100,0,0.00
 32.WARDHA, 2010-11,Kharif     ,200,100,0.50
, 2011-12,Kharif     ,400,100,0.25
, 2012-13,Kharif     ,200,100,0.50
, 2013-14,Kharif     ,200,100,0.50
, 2014-15,Kharif     ,100,,0.00
, 2015-16,Kharif     ,100,0,0.00
, 2016-17,Kharif     ,128,325,2.54
, 2017-18,Kharif     ,77,20,0.26
, 2018-19,Kharif     ,97,41,0.42
 33.WASHIM, 2010-11,Kharif     ,32000,17400,0.54
, 2011-12,Kharif     ,31500,20300,0.64
, 2012-13,Kharif     ,37700,31900,0.85
, 2013-14,Kharif     ,37700,12000,0.32
, 2014-15,Kharif     ,7700,2700,0.35
, 2015-16,Kharif     ,7700,2300,0.30
,,Summer     ,400,100,0.25
,,Total,8100,2400,0.30
, 2016-17,Kharif     ,8155,5572,0.68
, 2017-18,Kharif     ,8469,3918,0.46
, 2018-19,Kharif     ,9288,5231,0.56
 34.YAVATMAL, 2010-11,Kharif     ,13800,7700,0.56
, 2011-12,Kharif     ,10900,5600,0.51
, 2012-13,Kharif     ,10100,6300,0.62
, 2013-14,Kharif     ,10100,3100,0.31
, 2014-15,Kharif     ,8300,1300,0.16
, 2015-16,Kharif     ,8400,2100,0.25
,,Summer     ,100,,0.00
,,Total,8500,2100,0.25
, 2016-17,Kharif     ,9341,5074,0.54
, 2017-18,Kharif     ,10024,4971,0.50
, 2018-19,Kharif     ,8633,3299,0.38
Total - Moong(Green Gram),,,3889308.00,1813511,0.47
Niger seed,,,,,
 1.AHMEDNAGAR, 2010-11,Kharif     ,1900,700,0.37
, 2011-12,Kharif     ,1900,700,0.37
, 2012-13,Kharif     ,2000,700,0.35
, 2013-14,Kharif     ,2000,700,0.35
, 2014-15,Kharif     ,1500,400,0.27
, 2015-16,Kharif     ,400,100,0.25
, 2016-17,Kharif     ,386,65,0.17
, 2017-18,Kharif     ,421,62,0.15
, 2018-19,Kharif     ,440,79,0.18
 2.AURANGABAD, 2010-11,Kharif     ,100,,0.00
, 2011-12,Kharif     ,100,20,0.20
, 2012-13,Kharif     ,100,20,0.20
, 2013-14,Kharif     ,100,,0.00
, 2014-15,Kharif     ,100,,0.00
, 2015-16,Kharif     ,100,5,0.05
, 2016-17,Kharif     ,74,12,0.16
 3.BEED, 2010-11,Kharif     ,800,200,0.25
, 2011-12,Kharif     ,600,100,0.17
, 2012-13,Kharif     ,600,100,0.17
, 2013-14,Kharif     ,600,200,0.33
, 2014-15,Kharif     ,800,100,0.13
, 2015-16,Kharif     ,700,27,0.04
, 2016-17,Kharif     ,658,108,0.16
, 2017-18,Kharif     ,653,60,0.09
, 2018-19,Kharif     ,214,11,0.05
 4.BULDHANA, 2016-17,Kharif     ,1612,201,0.12
, 2017-18,Kharif     ,1158,152,0.13
, 2018-19,Kharif     ,254,16,0.06
 5.DHULE, 2015-16,Kharif     ,10,2,0.20
, 2017-18,Kharif     ,36,9,0.25
, 2018-19,Kharif     ,182,26,0.14
 6.HINGOLI, 2010-11,Kharif     ,300,100,0.33
, 2011-12,Kharif     ,400,100,0.25
, 2012-13,Kharif     ,300,100,0.33
, 2013-14,Kharif     ,300,100,0.33
, 2014-15,Kharif     ,500,100,0.20
, 2015-16,Kharif     ,400,30,0.08
 7.JALNA, 2010-11,Kharif     ,200,100,0.50
, 2011-12,Kharif     ,100,20,0.20
, 2012-13,Kharif     ,100,20,0.20
, 2013-14,Kharif     ,100,,0.00
, 2015-16,Kharif     ,20,1,0.05
, 2016-17,Kharif     ,36,6,0.17
, 2017-18,Kharif     ,200,19,0.10
 8.KOLHAPUR, 2010-11,Kharif     ,800,300,0.38
, 2011-12,Kharif     ,1500,500,0.33
, 2012-13,Kharif     ,500,200,0.40
, 2013-14,Kharif     ,500,160,0.32
, 2014-15,Kharif     ,300,100,0.33
, 2015-16,Kharif     ,100,30,0.30
, 2016-17,Kharif     ,185,31,0.17
, 2017-18,Kharif     ,242,36,0.15
 9.LATUR, 2010-11,Kharif     ,1800,300,0.17
, 2011-12,Kharif     ,1700,500,0.29
, 2012-13,Kharif     ,1700,500,0.29
, 2013-14,Kharif     ,1700,400,0.24
, 2014-15,Kharif     ,1200,200,0.17
, 2015-16,Kharif     ,1200,100,0.08
, 2016-17,Kharif     ,1279,164,0.13
, 2017-18,Kharif     ,921,77,0.08
, 2018-19,Kharif     ,769,75,0.10
 10.NANDED, 2010-11,Kharif     ,1100,300,0.27
, 2011-12,Kharif     ,800,200,0.25
, 2012-13,Kharif     ,500,100,0.20
, 2013-14,Kharif     ,500,100,0.20
, 2014-15,Kharif     ,400,,0.00
, 2015-16,Kharif     ,400,10,0.03
, 2016-17,Kharif     ,499,43,0.09
, 2017-18,Kharif     ,533,37,0.07
, 2018-19,Kharif     ,160,20,0.13
 11.NANDURBAR, 2015-16,Kharif     ,10,2,0.20
, 2017-18,Kharif     ,28,7,0.25
, 2018-19,Kharif     ,5,1,0.20
 12.NASHIK, 2010-11,Kharif     ,12300,1800,0.15
, 2011-12,Kharif     ,15800,5000,0.32
, 2012-13,Kharif     ,21700,7100,0.33
, 2013-14,Kharif     ,21700,7500,0.35
, 2014-15,Kharif     ,2400,300,0.13
, 2015-16,Kharif     ,2400,400,0.17
, 2016-17,Kharif     ,2054,489,0.24
, 2017-18,Kharif     ,2146,511,0.24
, 2018-19,Kharif     ,2129,307,0.14
 13.OSMANABAD, 2010-11,Kharif     ,4600,1200,0.26
, 2011-12,Kharif     ,4200,1100,0.26
, 2012-13,Kharif     ,3600,600,0.17
, 2013-14,Kharif     ,3600,1100,0.31
, 2014-15,Kharif     ,3400,500,0.15
, 2015-16,Kharif     ,2200,200,0.09
, 2016-17,Kharif     ,3326,432,0.13
, 2017-18,Kharif     ,3047,413,0.14
, 2018-19,Kharif     ,3282,187,0.06
 14.PALGHAR, 2014-15,Kharif     ,900,100,0.11
, 2015-16,Kharif     ,1300,200,0.15
, 2016-17,Kharif     ,1536,366,0.24
, 2017-18,Kharif     ,1491,357,0.24
 15.PARBHANI, 2010-11,Kharif     ,1800,400,0.22
, 2011-12,Kharif     ,1800,500,0.28
, 2012-13,Kharif     ,1000,200,0.20
, 2013-14,Kharif     ,1000,200,0.20
, 2014-15,Kharif     ,1000,100,0.10
, 2015-16,Kharif     ,200,10,0.05
, 2016-17,Kharif     ,314,43,0.14
, 2017-18,Kharif     ,117,15,0.13
, 2018-19,Kharif     ,132,9,0.07
 16.PUNE, 2010-11,Kharif     ,2000,700,0.35
, 2011-12,Kharif     ,2000,700,0.35
, 2012-13,Kharif     ,2600,900,0.35
, 2013-14,Kharif     ,2600,700,0.27
, 2014-15,Kharif     ,2300,600,0.26
, 2015-16,Kharif     ,800,200,0.25
, 2016-17,Kharif     ,887,149,0.17
, 2017-18,Kharif     ,1114,178,0.16
, 2018-19,Kharif     ,1729,318,0.18
 17.RAIGAD, 2010-11,Kharif     ,400,100,0.25
, 2011-12,Kharif     ,400,100,0.25
, 2014-15,Kharif     ,100,,0.00
, 2015-16,Kharif     ,100,10,0.10
, 2016-17,Kharif     ,59,14,0.24
 18.RATNAGIRI, 2010-11,Kharif     ,2200,300,0.14
, 2011-12,Kharif     ,2200,700,0.32
, 2012-13,Kharif     ,2200,700,0.32
, 2013-14,Kharif     ,2200,800,0.36
, 2014-15,Kharif     ,100,,0.00
, 2015-16,Kharif     ,600,100,0.17
 19.SANGLI, 2010-11,Kharif     ,200,100,0.50
, 2011-12,Kharif     ,200,100,0.50
, 2012-13,Kharif     ,100,30,0.30
, 2013-14,Kharif     ,100,,0.00
, 2014-15,Kharif     ,100,,0.00
, 2015-16,Kharif     ,200,100,0.50
, 2016-17,Kharif     ,36,6,0.17
 20.SATARA, 2010-11,Kharif     ,1600,600,0.38
, 2011-12,Kharif     ,1200,400,0.33
, 2012-13,Kharif     ,1100,400,0.36
, 2013-14,Kharif     ,1100,360,0.33
, 2014-15,Kharif     ,1000,300,0.30
, 2015-16,Kharif     ,1000,300,0.30
, 2016-17,Kharif     ,999,168,0.17
, 2017-18,Kharif     ,756,112,0.15
, 2018-19,Kharif     ,1531,276,0.18
 21.SINDHUDURG, 2010-11,Kharif     ,200,,0.00
, 2011-12,Kharif     ,100,30,0.30
, 2012-13,Kharif     ,100,,0.00
, 2013-14,Kharif     ,100,,0.00
, 2014-15,Kharif     ,100,,0.00
, 2015-16,Kharif     ,30,10,0.33
, 2016-17,Kharif     ,16,4,0.25
 22.SOLAPUR, 2010-11,Kharif     ,100,,0.00
, 2011-12,Kharif     ,100,,0.00
, 2012-13,Kharif     ,100,20,0.20
, 2013-14,Kharif     ,100,,0.00
, 2014-15,Kharif     ,100,,0.00
, 2015-16,Kharif     ,100,20,0.20
, 2016-17,Kharif     ,57,10,0.18
, 2017-18,Kharif     ,105,15,0.14
, 2018-19,Kharif     ,102,11,0.11
 23.THANE, 2010-11,Kharif     ,2300,300,0.13
, 2011-12,Kharif     ,2300,700,0.30
, 2012-13,Kharif     ,2000,700,0.35
, 2013-14,Kharif     ,2000,700,0.35
, 2014-15,Kharif     ,100,,0.00
, 2015-16,Kharif     ,100,10,0.10
, 2016-17,Kharif     ,39,9,0.23
Total - Niger seed,,,219419.00,54763,0.25
Other  Rabi pulses,,,,,
 1.AHMEDNAGAR, 2010-11,Rabi       ,5500,4400,0.80
, 2011-12,Rabi       ,300,300,1.00
, 2012-13,Rabi       ,1500,500,0.33
, 2013-14,Rabi       ,800,400,0.50
, 2014-15,Rabi       ,900,200,0.22
, 2015-16,Rabi       ,400,70,0.18
, 2016-17,Rabi       ,1100,200,0.18
, 2017-18,Rabi       ,1530,700,0.46
, 2018-19,Rabi       ,100,10,0.10
 2.AMRAVATI, 2010-11,Rabi       ,2000,700,0.35
, 2013-14,Rabi       ,300,200,0.67
, 2014-15,Rabi       ,100,100,1.00
 3.AURANGABAD, 2014-15,Rabi       ,100,,0.00
, 2015-16,Rabi       ,5,1,0.20
, 2016-17,Rabi       ,100,20,0.20
, 2017-18,Rabi       ,96,30,0.31
, 2018-19,Rabi       ,10,1,0.10
 4.BEED, 2010-11,Rabi       ,1400,700,0.50
, 2011-12,Rabi       ,1800,700,0.39
, 2012-13,Rabi       ,300,100,0.33
, 2013-14,Rabi       ,100,,0.00
, 2015-16,Rabi       ,100,0,0.00
, 2016-17,Rabi       ,40,20,0.50
, 2017-18,Rabi       ,3,1,0.30
, 2018-19,Rabi       ,10,3,0.30
 5.BHANDARA, 2010-11,Rabi       ,20500,9200,0.45
, 2011-12,Rabi       ,16400,8200,0.50
, 2012-13,Rabi       ,22100,7200,0.33
, 2013-14,Rabi       ,21800,10700,0.49
, 2014-15,Rabi       ,16400,3500,0.21
, 2015-16,Rabi       ,18100,9300,0.51
, 2016-17,Rabi       ,19300,11600,0.60
, 2017-18,Rabi       ,18900,10700,0.57
, 2018-19,Rabi       ,23480,10200,0.43
 6.BULDHANA, 2013-14,Rabi       ,100,,0.00
, 2015-16,Rabi       ,100,40,0.40
, 2016-17,Rabi       ,200,100,0.50
, 2017-18,Rabi       ,7,6,0.86
, 2018-19,Rabi       ,70,41,0.59
 7.CHANDRAPUR, 2010-11,Rabi       ,25400,8900,0.35
, 2011-12,Rabi       ,20100,6000,0.30
, 2012-13,Rabi       ,30200,9900,0.33
, 2013-14,Rabi       ,36600,14400,0.39
, 2014-15,Rabi       ,24700,5300,0.21
, 2015-16,Rabi       ,20800,8300,0.40
, 2016-17,Rabi       ,29200,16000,0.55
, 2017-18,Rabi       ,24200,12600,0.52
, 2018-19,Rabi       ,30160,14900,0.49
 8.DHULE, 2010-11,Rabi       ,100,100,1.00
, 2011-12,Rabi       ,600,200,0.33
, 2012-13,Rabi       ,400,200,0.50
, 2013-14,Rabi       ,700,400,0.57
, 2014-15,Rabi       ,900,200,0.22
, 2015-16,Rabi       ,900,500,0.56
, 2016-17,Rabi       ,700,400,0.57
, 2017-18,Rabi       ,505,300,0.59
, 2018-19,Rabi       ,340,100,0.29
 9.GADCHIROLI, 2010-11,Rabi       ,17900,6300,0.35
, 2011-12,Rabi       ,9000,1800,0.20
, 2012-13,Rabi       ,16000,5200,0.33
, 2013-14,Rabi       ,16000,7000,0.44
, 2014-15,Rabi       ,15600,3400,0.22
, 2015-16,Rabi       ,7400,3200,0.43
, 2016-17,Rabi       ,12700,6900,0.54
, 2017-18,Rabi       ,12556,5100,0.41
, 2018-19,Rabi       ,10550,4000,0.38
 10.GONDIA, 2010-11,Rabi       ,14200,5000,0.35
, 2011-12,Rabi       ,10800,3200,0.30
, 2012-13,Rabi       ,12800,4200,0.33
, 2013-14,Rabi       ,13800,5200,0.38
, 2014-15,Rabi       ,12800,2800,0.22
, 2015-16,Rabi       ,12900,4900,0.38
, 2016-17,Rabi       ,12600,6000,0.48
, 2017-18,Rabi       ,8682,4400,0.51
, 2018-19,Rabi       ,11280,5400,0.48
 11.HINGOLI, 2010-11,Rabi       ,500,200,0.40
, 2011-12,Rabi       ,400,200,0.50
, 2012-13,Rabi       ,100,40,0.40
, 2013-14,Rabi       ,300,100,0.33
, 2014-15,Rabi       ,200,,0.00
, 2015-16,Rabi       ,100,10,0.10
, 2016-17,Rabi       ,200,100,0.50
, 2018-19,Rabi       ,60,20,0.33
 12.JALGAON, 2014-15,Rabi       ,200,100,0.50
, 2016-17,Rabi       ,40,30,0.75
 13.JALNA, 2013-14,Rabi       ,100,,0.00
, 2014-15,Rabi       ,100,,0.00
, 2016-17,Rabi       ,100,40,0.40
, 2017-18,Rabi       ,4,1,0.30
 14.KOLHAPUR, 2010-11,Rabi       ,1700,600,0.35
, 2011-12,Rabi       ,1900,700,0.37
, 2012-13,Rabi       ,900,300,0.33
, 2013-14,Rabi       ,1200,600,0.50
, 2014-15,Rabi       ,1800,700,0.39
, 2015-16,Rabi       ,500,200,0.40
, 2016-17,Rabi       ,4600,2200,0.48
, 2017-18,Rabi       ,1500,500,0.33
, 2018-19,Rabi       ,800,300,0.38
 15.LATUR, 2010-11,Rabi       ,800,400,0.50
, 2011-12,Rabi       ,800,400,0.50
, 2012-13,Rabi       ,700,300,0.43
, 2013-14,Rabi       ,700,300,0.43
, 2014-15,Rabi       ,400,100,0.25
, 2015-16,Rabi       ,500,30,0.06
, 2016-17,Rabi       ,400,200,0.50
, 2017-18,Rabi       ,200,,0.00
 16.NAGPUR, 2010-11,Rabi       ,3600,1800,0.50
, 2011-12,Rabi       ,4400,2500,0.57
, 2012-13,Rabi       ,3400,2200,0.65
, 2013-14,Rabi       ,2800,1600,0.57
, 2014-15,Rabi       ,1300,300,0.23
, 2015-16,Rabi       ,900,500,0.56
, 2016-17,Rabi       ,1200,700,0.58
, 2017-18,Rabi       ,1068,400,0.37
, 2018-19,Rabi       ,740,300,0.41
 17.NANDED, 2012-13,Rabi       ,100,40,0.40
, 2014-15,Rabi       ,100,,0.00
, 2015-16,Rabi       ,3,0,0.07
, 2017-18,Rabi       ,100,13,0.13
 18.NANDURBAR, 2011-12,Rabi       ,100,40,0.40
, 2012-13,Rabi       ,400,100,0.25
, 2013-14,Rabi       ,500,400,0.80
, 2014-15,Rabi       ,200,,0.00
, 2015-16,Rabi       ,1500,400,0.27
, 2016-17,Rabi       ,1900,800,0.42
, 2017-18,Rabi       ,420,300,0.71
, 2018-19,Rabi       ,100,40,0.40
 19.NASHIK, 2010-11,Rabi       ,1500,1100,0.73
, 2011-12,Rabi       ,1800,1300,0.72
, 2012-13,Rabi       ,2000,600,0.30
, 2013-14,Rabi       ,900,500,0.56
, 2014-15,Rabi       ,600,100,0.17
, 2015-16,Rabi       ,900,300,0.33
, 2016-17,Rabi       ,1500,400,0.27
, 2017-18,Rabi       ,1405,1200,0.85
, 2018-19,Rabi       ,1450,800,0.55
 20.OSMANABAD, 2010-11,Rabi       ,800,300,0.38
, 2011-12,Rabi       ,800,300,0.38
, 2012-13,Rabi       ,1100,400,0.36
, 2013-14,Rabi       ,1900,800,0.42
, 2014-15,Rabi       ,1100,200,0.18
, 2015-16,Rabi       ,1000,40,0.04
, 2016-17,Rabi       ,1500,800,0.53
, 2017-18,Rabi       ,1000,300,0.30
, 2018-19,Rabi       ,1060,400,0.38
 21.PALGHAR, 2014-15,Rabi       ,2600,1800,0.69
, 2015-16,Rabi       ,2600,1800,0.69
, 2016-17,Rabi       ,3300,2300,0.70
, 2017-18,Rabi       ,3200,2200,0.69
, 2018-19,Rabi       ,2020,1400,0.69
 22.PARBHANI, 2010-11,Rabi       ,1800,1000,0.56
, 2011-12,Rabi       ,1800,1300,0.72
, 2012-13,Rabi       ,700,400,0.57
, 2013-14,Rabi       ,200,100,0.50
, 2015-16,Rabi       ,100,5,0.05
, 2017-18,Rabi       ,5,18,3.60
, 2018-19,Rabi       ,120,60,0.50
 23.PUNE, 2010-11,Rabi       ,8600,3900,0.45
, 2011-12,Rabi       ,6100,2600,0.43
, 2012-13,Rabi       ,2800,800,0.29
, 2013-14,Rabi       ,2700,1200,0.44
, 2014-15,Rabi       ,2200,500,0.23
, 2015-16,Rabi       ,2600,500,0.19
, 2016-17,Rabi       ,2500,600,0.24
, 2017-18,Rabi       ,3510,1500,0.43
, 2018-19,Rabi       ,1370,500,0.36
 24.RAIGAD, 2010-11,Rabi       ,9200,4300,0.47
, 2011-12,Rabi       ,9300,4500,0.48
, 2012-13,Rabi       ,11100,5300,0.48
, 2013-14,Rabi       ,7300,3600,0.49
, 2014-15,Rabi       ,11400,8000,0.70
, 2015-16,Rabi       ,12100,8000,0.66
, 2016-17,Rabi       ,17800,12600,0.71
, 2017-18,Rabi       ,11800,3800,0.32
, 2018-19,Rabi       ,12070,3800,0.31
 25.RATNAGIRI, 2010-11,Rabi       ,6700,2900,0.43
, 2011-12,Rabi       ,6200,2700,0.44
, 2012-13,Rabi       ,3100,2200,0.71
, 2013-14,Rabi       ,6000,4300,0.72
, 2014-15,Rabi       ,3500,2400,0.69
, 2015-16,Rabi       ,4300,3000,0.70
, 2016-17,Rabi       ,4500,3100,0.69
, 2017-18,Rabi       ,4700,3300,0.70
, 2018-19,Rabi       ,5040,3500,0.69
 26.SANGLI, 2010-11,Rabi       ,200,100,0.50
, 2011-12,Rabi       ,200,100,0.50
, 2013-14,Rabi       ,100,,0.00
, 2014-15,Rabi       ,100,,0.00
, 2016-17,Rabi       ,100,100,1.00
, 2017-18,Rabi       ,400,200,0.50
, 2018-19,Rabi       ,20,10,0.50
 27.SATARA, 2010-11,Rabi       ,1000,600,0.60
, 2011-12,Rabi       ,800,400,0.50
, 2012-13,Rabi       ,300,100,0.33
, 2013-14,Rabi       ,200,100,0.50
, 2014-15,Rabi       ,1300,1200,0.92
, 2015-16,Rabi       ,500,200,0.40
, 2016-17,Rabi       ,1100,500,0.45
, 2017-18,Rabi       ,640,100,0.16
, 2018-19,Rabi       ,740,400,0.54
 28.SINDHUDURG, 2010-11,Rabi       ,4700,2400,0.51
, 2011-12,Rabi       ,4700,2700,0.57
, 2012-13,Rabi       ,1500,800,0.53
, 2013-14,Rabi       ,1600,1100,0.69
, 2014-15,Rabi       ,1600,1100,0.69
, 2015-16,Rabi       ,1900,1400,0.74
, 2016-17,Rabi       ,2000,1300,0.65
, 2017-18,Rabi       ,2000,1000,0.50
, 2018-19,Rabi       ,4410,2700,0.61
 29.SOLAPUR, 2010-11,Rabi       ,100,,0.00
, 2011-12,Rabi       ,400,200,0.50
, 2012-13,Rabi       ,400,100,0.25
, 2013-14,Rabi       ,800,300,0.38
, 2014-15,Rabi       ,500,100,0.20
, 2015-16,Rabi       ,100,10,0.10
, 2016-17,Rabi       ,300,50,0.17
, 2017-18,Rabi       ,94,40,0.43
 30.THANE, 2010-11,Rabi       ,4800,2800,0.58
, 2011-12,Rabi       ,5100,3000,0.59
, 2012-13,Rabi       ,5900,2500,0.42
, 2013-14,Rabi       ,4800,1900,0.40
, 2014-15,Rabi       ,2600,1800,0.69
, 2015-16,Rabi       ,2600,1600,0.62
, 2016-17,Rabi       ,3200,2100,0.66
, 2017-18,Rabi       ,3200,2200,0.69
, 2018-19,Rabi       ,3000,2000,0.67
 31.WARDHA, 2011-12,Rabi       ,200,100,0.50
 32.WASHIM, 2018-19,Rabi       ,680,300,0.44
Total - Other  Rabi pulses,,,1006893.00,449280,0.45
Other Cereals,,,,,
 1.AHMEDNAGAR, 2016-17,Kharif     ,1500,300,0.20
,,Rabi       ,200,100,0.50
,,Summer     ,60,100,1.67
,,Total,1760,500,0.28
, 2017-18,Kharif     ,900,300,0.33
,,Rabi       ,100,45,0.45
,,Summer     ,20,15,0.75
,,Total,1020,360,0.35
, 2018-19,Kharif     ,518,60,0.12
,,Rabi       ,390,80,0.21
,,Summer     ,1,,0.00
,,Total,909,140,0.15
 2.AKOLA, 2016-17,Kharif     ,200,100,0.50
 3.AMRAVATI, 2016-17,Kharif     ,500,200,0.40
, 2017-18,Kharif     ,900,300,0.33
 4.AURANGABAD, 2016-17,Kharif     ,1000,600,0.60
,,Rabi       ,1400,300,0.21
,,Summer     ,1930,3600,1.87
,,Total,4330,4500,1.04
, 2017-18,Kharif     ,1900,800,0.42
,,Rabi       ,900,400,0.44
,,Summer     ,580,300,0.52
,,Total,3380,1500,0.44
, 2018-19,Kharif     ,1745,750,0.43
,,Rabi       ,1220,300,0.25
,,Summer     ,254,120,0.47
,,Total,3219,1170,0.36
 5.BEED, 2016-17,Kharif     ,500,300,0.60
,,Summer     ,3800,6000,1.58
,,Total,4300,6300,1.47
, 2017-18,Kharif     ,40,10,0.25
,,Rabi       ,500,350,0.70
,,Summer     ,1600,1300,0.81
,,Total,2140,1660,0.78
, 2018-19,Kharif     ,507,122,0.24
,,Rabi       ,350,100,0.29
,,Total,857,222,0.26
 6.BULDHANA, 2016-17,Kharif     ,200,100,0.50
,,Rabi       ,100,40,0.40
,,Total,300,140,0.47
, 2017-18,Kharif     ,220,100,0.45
,,Rabi       ,160,210,1.31
,,Total,380,310,0.82
, 2018-19,Kharif     ,1041,416,0.40
,,Rabi       ,337,337,1.00
,,Total,1378,753,0.55
 7.CHANDRAPUR, 2017-18,Kharif     ,10,3,0.30
,,Rabi       ,130,100,0.77
,,Total,140,103,0.74
, 2018-19,Kharif     ,221,124,0.56
,,Rabi       ,760,340,0.45
,,Total,981,464,0.47
 8.DHULE, 2016-17,Kharif     ,800,600,0.75
,,Summer     ,470,530,1.13
,,Total,1270,1130,0.89
, 2017-18,Kharif     ,900,1200,1.33
, 2018-19,Kharif     ,441,243,0.55
,,Rabi       ,800,400,0.50
,,Total,1241,643,0.52
 9.GADCHIROLI, 2017-18,Kharif     ,150,45,0.30
, 2018-19,Kharif     ,21,6,0.29
 10.GONDIA, 2017-18,Rabi       ,30,16,0.53
 11.HINGOLI, 2016-17,Kharif     ,100,20,0.20
,,Rabi       ,800,500,0.63
,,Summer     ,40,100,2.50
,,Total,940,620,0.66
, 2017-18,Kharif     ,400,80,0.20
,,Rabi       ,100,20,0.20
,,Total,500,100,0.20
, 2018-19,Kharif     ,127,58,0.46
,,Rabi       ,1390,610,0.44
,,Total,1517,668,0.44
 12.JALGAON, 2016-17,Kharif     ,1900,1400,0.74
,,Rabi       ,2400,600,0.25
,,Summer     ,7100,6300,0.89
,,Total,11400,8300,0.73
, 2017-18,Kharif     ,5,6,1.20
,,Rabi       ,1700,1500,0.88
,,Summer     ,3600,2800,0.78
,,Total,5305,4306,0.81
, 2018-19,Kharif     ,1909,1359,0.71
,,Rabi       ,690,400,0.58
,,Summer     ,920,540,0.59
,,Total,3519,2299,0.65
 13.JALNA, 2016-17,Kharif     ,100,100,1.00
,,Summer     ,40,70,1.75
,,Total,140,170,1.21
, 2017-18,Kharif     ,20,4,0.20
,,Rabi       ,100,24,0.24
,,Summer     ,80,50,0.63
,,Total,200,78,0.39
, 2018-19,Kharif     ,148,25,0.17
,,Rabi       ,4,2,0.50
,,Total,152,27,0.18
 14.KOLHAPUR, 2016-17,Kharif     ,1500,700,0.47
,,Rabi       ,900,400,0.44
,,Total,2400,1100,0.46
, 2017-18,Kharif     ,600,200,0.33
, 2018-19,Kharif     ,387,194,0.50
 15.LATUR, 2016-17,Kharif     ,1000,300,0.30
,,Rabi       ,500,200,0.40
,,Total,1500,500,0.33
, 2017-18,Kharif     ,600,200,0.33
,,Rabi       ,200,28,0.14
,,Total,800,228,0.29
, 2018-19,Kharif     ,1643,493,0.30
,,Rabi       ,10,,0.00
,,Total,1653,493,0.30
 16.NAGPUR, 2016-17,Kharif     ,100,100,1.00
, 2017-18,Kharif     ,30,9,0.30
, 2018-19,Kharif     ,71,21,0.30
,,Rabi       ,10,2,0.20
,,Total,81,23,0.28
 17.NANDED, 2016-17,Kharif     ,400,100,0.25
,,Rabi       ,100,20,0.20
,,Summer     ,7200,11900,1.65
,,Total,7700,12020,1.56
, 2017-18,Rabi       ,200,100,0.50
,,Summer     ,3240,1600,0.49
,,Total,3440,1700,0.49
, 2018-19,Rabi       ,1880,400,0.21
,,Summer     ,7180,3470,0.48
,,Total,9060,3870,0.43
 18.NANDURBAR, 2016-17,Kharif     ,3800,1100,0.29
,,Rabi       ,200,100,0.50
,,Summer     ,250,400,1.60
,,Total,4250,1600,0.38
, 2017-18,Kharif     ,9000,3100,0.34
,,Rabi       ,100,100,1.00
,,Summer     ,310,200,0.65
,,Total,9410,3400,0.36
, 2018-19,Kharif     ,6982,3142,0.45
,,Rabi       ,30,20,0.67
,,Summer     ,190,110,0.58
,,Total,7202,3272,0.45
 19.NASHIK, 2016-17,Kharif     ,11700,9000,0.77
,,Summer     ,240,420,1.75
,,Total,11940,9420,0.79
, 2017-18,Kharif     ,11000,6900,0.63
,,Rabi       ,8,6,0.75
,,Summer     ,310,190,0.61
,,Total,11318,7096,0.63
, 2018-19,Kharif     ,12958,6220,0.48
,,Rabi       ,30,13,0.43
,,Summer     ,147,9,0.06
,,Total,13135,6242,0.48
 20.OSMANABAD, 2016-17,Kharif     ,2600,700,0.27
,,Rabi       ,1300,900,0.69
,,Total,3900,1600,0.41
, 2017-18,Kharif     ,900,300,0.33
,,Rabi       ,900,100,0.11
,,Total,1800,400,0.22
, 2018-19,Kharif     ,1488,312,0.21
,,Rabi       ,2940,1000,0.34
,,Total,4428,1312,0.30
 21.PALGHAR, 2016-17,Kharif     ,8300,5000,0.60
,,Rabi       ,10,8,0.80
,,Total,8310,5008,0.60
, 2017-18,Kharif     ,7700,4400,0.57
, 2018-19,Kharif     ,8662,5189,0.60
,,Rabi       ,2,2,1.00
,,Total,8664,5191,0.60
 22.PARBHANI, 2016-17,Kharif     ,730,138,0.19
,,Rabi       ,500,297,0.59
,,Total,1230,435,0.35
, 2017-18,Kharif     ,70,25,0.36
,,Rabi       ,170,47,0.28
,,Total,240,72,0.30
, 2018-19,Kharif     ,1135,165,0.15
,,Rabi       ,1510,190,0.13
,,Total,2645,355,0.13
 23.PUNE, 2016-17,Kharif     ,700,200,0.29
,,Rabi       ,500,100,0.20
,,Summer     ,7600,14100,1.86
,,Total,8800,14400,1.64
, 2017-18,Kharif     ,800,200,0.25
,,Rabi       ,300,100,0.33
,,Summer     ,6800,6100,0.90
,,Total,7900,6400,0.81
, 2018-19,Kharif     ,597,358,0.60
