state,district,year,month,rain
AndhraPradesh,Nellore,2016,September,109.4
AndhraPradesh,Nellore,2016,October,244.7
AndhraPradesh,Nellore,2016,November,343.9
AndhraPradesh,Nellore,2016,December,154.7
AndhraPradesh,Nizamabad,2015,January,0
AndhraPradesh,Nizamabad,2015,February,0
AndhraPradesh,Nizamabad,2015,March,0.1
AndhraPradesh,Nizamabad,2015,April,9.9
AndhraPradesh,Nizamabad,2015,May,15.7
AndhraPradesh,Nizamabad,2015,June,78.7
AndhraPradesh,Nizamabad,2015,July,173.9
AndhraPradesh,Nizamabad,2015,August,188.3
AndhraPradesh,Nizamabad,2015,September,155.5
AndhraPradesh,Nizamabad,2015,October,48
AndhraPradesh,Nizamabad,2015,November,15.8
AndhraPradesh,Nizamabad,2015,December,3.8
AndhraPradesh,Nizamabad,2016,January,8.4
AndhraPradesh,Nizamabad,2016,February,30.3
AndhraPradesh,Nizamabad,2016,March,0.9
AndhraPradesh,Nizamabad,2016,April,7.3
AndhraPradesh,Nizamabad,2016,May,0.5
AndhraPradesh,Nizamabad,2016,June,104.1
AndhraPradesh,Nizamabad,2016,July,299.2
AndhraPradesh,Nizamabad,2016,August,303.8
AndhraPradesh,Nizamabad,2016,September,245.4
AndhraPradesh,Nizamabad,2016,October,157.5
AndhraPradesh,Nizamabad,2016,November,34.9
AndhraPradesh,Nizamabad,2016,December,0.4
AndhraPradesh,Prakasam,2015,January,1.9
AndhraPradesh,Prakasam,2015,February,0
AndhraPradesh,Prakasam,2015,March,4.5
AndhraPradesh,Prakasam,2015,April,3.7
AndhraPradesh,Prakasam,2015,May,40.6
AndhraPradesh,Prakasam,2015,June,49.3
AndhraPradesh,Prakasam,2015,July,22.6
AndhraPradesh,Prakasam,2015,August,98.8
AndhraPradesh,Prakasam,2015,September,126.5
AndhraPradesh,Prakasam,2015,October,50.3
AndhraPradesh,Prakasam,2015,November,216.6
AndhraPradesh,Prakasam,2015,December,20.3
AndhraPradesh,Prakasam,2016,January,17.7
AndhraPradesh,Prakasam,2016,February,2
AndhraPradesh,Prakasam,2016,March,4.3
AndhraPradesh,Prakasam,2016,April,1
AndhraPradesh,Prakasam,2016,May,265.4
AndhraPradesh,Prakasam,2016,June,106.9
AndhraPradesh,Prakasam,2016,July,170.3
AndhraPradesh,Prakasam,2016,August,205.1
AndhraPradesh,Prakasam,2016,September,131.7
AndhraPradesh,Prakasam,2016,October,163.4
AndhraPradesh,Prakasam,2016,November,227.1
AndhraPradesh,Prakasam,2016,December,108.1
AndhraPradesh,Rangareddy,2015,January,0
AndhraPradesh,Rangareddy,2015,February,0
AndhraPradesh,Rangareddy,2015,March,3.3
AndhraPradesh,Rangareddy,2015,April,32.9
AndhraPradesh,Rangareddy,2015,May,20.2
AndhraPradesh,Rangareddy,2015,June,89.9
AndhraPradesh,Rangareddy,2015,July,67
AndhraPradesh,Rangareddy,2015,August,299.8
AndhraPradesh,Rangareddy,2015,September,151.5
AndhraPradesh,Rangareddy,2015,October,77.1
AndhraPradesh,Rangareddy,2015,November,34.7
AndhraPradesh,Rangareddy,2015,December,2.4
AndhraPradesh,Rangareddy,2016,January,9.6
AndhraPradesh,Rangareddy,2016,February,3.2
AndhraPradesh,Rangareddy,2016,March,0
AndhraPradesh,Rangareddy,2016,April,13.9
AndhraPradesh,Rangareddy,2016,May,21.2
AndhraPradesh,Rangareddy,2016,June,162.2
AndhraPradesh,Rangareddy,2016,July,272.4
AndhraPradesh,Rangareddy,2016,August,286.6
AndhraPradesh,Rangareddy,2016,September,205.4
AndhraPradesh,Rangareddy,2016,October,99.4
AndhraPradesh,Rangareddy,2016,November,31.7
AndhraPradesh,Rangareddy,2016,December,4.8
AndhraPradesh,Srikakulam,2015,January,0
AndhraPradesh,Srikakulam,2015,February,0
AndhraPradesh,Srikakulam,2015,March,10.2
AndhraPradesh,Srikakulam,2015,April,7.2
AndhraPradesh,Srikakulam,2015,May,26
AndhraPradesh,Srikakulam,2015,June,99.3
AndhraPradesh,Srikakulam,2015,July,215.9
AndhraPradesh,Srikakulam,2015,August,162.5
AndhraPradesh,Srikakulam,2015,September,145.4
AndhraPradesh,Srikakulam,2015,October,122.6
AndhraPradesh,Srikakulam,2015,November,85.2
AndhraPradesh,Srikakulam,2015,December,0
AndhraPradesh,Srikakulam,2016,January,0.4
AndhraPradesh,Srikakulam,2016,February,16.4
AndhraPradesh,Srikakulam,2016,March,17.5
AndhraPradesh,Srikakulam,2016,April,3.1
AndhraPradesh,Srikakulam,2016,May,172.7
AndhraPradesh,Srikakulam,2016,June,142.1
AndhraPradesh,Srikakulam,2016,July,236.8
AndhraPradesh,Srikakulam,2016,August,263
AndhraPradesh,Srikakulam,2016,September,207.9
AndhraPradesh,Srikakulam,2016,October,333
AndhraPradesh,Srikakulam,2016,November,178.6
AndhraPradesh,Srikakulam,2016,December,129
AndhraPradesh,Vishakhapatnam,2015,January,0
AndhraPradesh,Vishakhapatnam,2015,February,0
AndhraPradesh,Vishakhapatnam,2015,March,6.3
AndhraPradesh,Vishakhapatnam,2015,April,6.6
AndhraPradesh,Vishakhapatnam,2015,May,24.3
AndhraPradesh,Vishakhapatnam,2015,June,94.9
AndhraPradesh,Vishakhapatnam,2015,July,132.7
AndhraPradesh,Vishakhapatnam,2015,August,92
AndhraPradesh,Vishakhapatnam,2015,September,171.6
AndhraPradesh,Vishakhapatnam,2015,October,116.9
AndhraPradesh,Vishakhapatnam,2015,November,89
AndhraPradesh,Vishakhapatnam,2015,December,0
AndhraPradesh,Vishakhapatnam,2016,January,13.6
AndhraPradesh,Vishakhapatnam,2016,February,0.1
AndhraPradesh,Vishakhapatnam,2016,March,2.1
AndhraPradesh,Vishakhapatnam,2016,April,27.5
AndhraPradesh,Vishakhapatnam,2016,May,173.1
AndhraPradesh,Vishakhapatnam,2016,June,156.3
AndhraPradesh,Vishakhapatnam,2016,July,321
AndhraPradesh,Vishakhapatnam,2016,August,167
AndhraPradesh,Vishakhapatnam,2016,September,188
AndhraPradesh,Vishakhapatnam,2016,October,203.5
AndhraPradesh,Vishakhapatnam,2016,November,287.4
